56.3471	1e-05
59.7085	5e-05
63.0699	9e-05
66.4313	0.00019
69.7928	0.0005
73.1542	0.00115
76.5156	0.00208
79.877	0.00373
83.2385	0.0057
86.5999	0.00883
89.9613	0.0123
93.3228	0.01748
96.6842	0.02091
100.046	0.02541
103.407	0.02918
106.768	0.03359
110.13	0.03879
113.491	0.04143
116.853	0.04495
120.214	0.04596
123.576	0.04587
126.937	0.04688
130.298	0.04674
133.66	0.04545
137.021	0.04379
140.383	0.04238
143.744	0.03955
147.106	0.03641
150.467	0.03368
153.828	0.03097
157.19	0.02834
160.551	0.02646
163.913	0.02406
167.274	0.02146
170.636	0.01916
173.997	0.01734
177.358	0.01518
180.72	0.01279
184.081	0.01252
187.443	0.01032
190.804	0.0093
194.166	0.00769
197.527	0.00695
200.888	0.00612
204.25	0.00518
207.611	0.00494
210.973	0.00367
214.334	0.00334
217.696	0.00277
221.057	0.00255
224.418	0.00227
227.78	0.00165
231.141	0.00181
234.503	0.00154
237.864	0.00126
241.226	0.00112
244.587	0.00102
247.948	0.00068
251.31	0.00065
254.671	0.00061
258.033	0.00054
261.394	0.0004
264.756	0.0004
268.117	0.00024
271.478	0.00024
274.84	0.00029
278.201	0.00015
281.563	0.00014
284.924	0.00017
288.286	8e-05
291.647	5e-05
295.008	4e-05
298.37	4e-05
301.731	9e-05
305.093	7e-05
308.454	3e-05
311.815	4e-05
315.177	4e-05
321.9	2e-05
328.623	2e-05
338.707	2e-05
345.43	2e-05
355.514	3e-05
365.598	1e-05
375.683	2e-05
392.49	1e-05
