-3.97406	0.0001
-3.93	0.0001
-3.79783	0.0001
-3.70971	0.0001
-3.6216	0.0002
-3.57754	0.0001
-3.53348	0.0002
-3.48942	0.0005
-3.44537	0.0004
-3.40131	0.0002
-3.35725	0.0002
-3.31319	0.0002
-3.26913	0.0003
-3.22508	0.0004
-3.18102	0.0011
-3.13696	0.001
-3.0929	0.0013
-3.04884	0.0025
-3.00479	0.002
-2.96073	0.0031
-2.91667	0.0029
-2.87261	0.0038
-2.82855	0.0051
-2.7845	0.0047
-2.74044	0.0056
-2.69638	0.0065
-2.65232	0.0078
-2.60826	0.0116
-2.56421	0.0109
-2.52015	0.0115
-2.47609	0.013
-2.43203	0.0135
-2.38798	0.0149
-2.34392	0.0166
-2.29986	0.0178
-2.2558	0.0209
-2.21174	0.0227
-2.16769	0.0205
-2.12363	0.0256
-2.07957	0.0256
-2.03551	0.0286
-1.99145	0.0561
-1.9474	0.0325
-1.90334	0.0307
-1.85928	0.0323
-1.81522	0.0315
-1.77116	0.0296
-1.72711	0.0326
-1.68305	0.0311
-1.63899	0.0284
-1.59493	0.0311
-1.55087	0.0272
-1.50682	0.0275
-1.46276	0.0282
-1.4187	0.0277
-1.37464	0.0227
-1.33058	0.0256
-1.28653	0.0204
-1.24247	0.0206
-1.19841	0.018
-1.15435	0.0152
-1.1103	0.0136
-1.06624	0.0161
-1.02218	0.0117
-0.978121	0.0128
-0.934063	0.0083
-0.890005	0.0093
-0.845947	0.0072
-0.801889	0.0071
-0.757832	0.0067
-0.713774	0.0059
-0.669716	0.0042
-0.625658	0.004
-0.5816	0.0043
-0.537542	0.0033
-0.493484	0.0022
-0.449426	0.0025
-0.405368	0.0016
-0.36131	0.0005
-0.317252	0.0008
-0.273194	0.0009
-0.229136	0.0007
-0.185078	0.0008
-0.14102	0.0003
-0.0969625	0.0003
-0.0529046	0.0002
-0.00884664	0.0001
0.0352113	0.0004
0.0792692	0.0005
0.123327	0.0001
0.167385	0.0001
0.211443	0.0001
0.255501	0.0001
0.387675	0.0001
